,gbw,CO2r,CO2s,Ci,gsw,day,flow,plantHeight,area,latitude,siteIdentifier,longitude,A,Patm,RHr,RHs,Tblock,Tair,Tleaf,E,VPDleaf,year,dataContributor,SampleID,measurementDevice,instrumentType,experimentalTreatment,growthEnvironment,month,time,unadjudicatedName,plantType,plantLeaf,plantForm,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
,Boundary layer conductance to water vapor per leaf area,CO2 concentration in wet air entering chamber,CO2 concentration in wet air inside chamber,Intercellular CO2 concentration in air,Stomatal conductance to water vapor per leaf area,Day of observation,Flow rate of air into chamber,The height of the plant measured,Leaf area,Latitude coordinate of the site,Location descriptor of where data was collected,Longitude coordinate of the site,Net CO2 exchange per leaf area,Atmospheric pressure of the air,Relative humidity of air entering the chamber,Relative humidity of air inside the chamber,Temperature of cooler block used to stabilize air temperature,Air temperature inside the chamber,Leaf surface temperature,Transpiration rate of H2O per leaf area,Leaf to air vapor pressure deficit,Year of observation,Name of the individual or organization that contributed to the data,Identifier of the measured leaf,Name of the instrument that collected data,Instrument make & model. Describe any custom modifications in comments,Description of any applied sample manipulations,Description of the plant growth environment,Month of observation,Time of observation,Full species name and subspecies if applicable,"Classification of plant as either gymnosperm or angiosperm, indicating differences in reproductive structures and evolutionary lineage","Leaf lifespan strategy of the plant, categorizing it as evergreen or deciduous based on leaf retention patterns","Life form of the plant, categorizing it as tree, shrub, grass, crop, savanna, etc., based on growth form and ecological function",The accepted species name assigned by the adjudicator,The author of the accepted species name,The authority that was referenced to assign the accepted species name,"The taxonomic heirarchy level at which the plant was named (family, genus, species, subspecies, variety, type)",The expert that assigned an unadjudicated species name to an accepted species name
,mmol m-2 s-1,μmol mol-1,μmol mol-1,μmol mol-1,mmol m-2 s-1,1,μmol s-1,m,cm-2,degree,1,degree,μmol m-2 s-1,kPa,%,%,degree_C,degree_C,degree_C,mmol m-2 s-1,kPa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,2250.0,201.25,199.08999633789062,132.0,25.699999183416367,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,1.0099999904632568,100.0,60.36000061035156,62.90999984741211,22.479999542236328,22.829999923706055,25.0,0.3709999918937683,1.4199999570846558,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
1,2250.0,99.9800033569336,99.81999969482422,95.19999694824219,27.300000190734863,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,0.04089999943971634,100.0,60.540000915527344,63.22999954223633,22.479999542236328,22.799999237060547,24.950000762939453,0.38999998569488525,1.409999966621399,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
2,2250.0,50.86000061035156,51.65999984741211,74.19999694824219,28.4000001847744,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,-0.42100000381469727,100.0,60.66999816894531,63.439998626708984,22.479999542236328,22.790000915527344,24.90999984741211,0.4009999930858612,1.399999976158142,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
3,2250.0,401.1000061035156,393.8500061035156,202.0,30.20000085234642,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,3.4600000381469727,100.0,60.849998474121094,63.77000045776367,22.479999542236328,22.770000457763672,24.8799991607666,0.4230000078678131,1.3799999952316284,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,ambient,open,5.0,,,,,,,,,,
4,2250.0,399.4599914550781,392.25,206.0,31.099999323487282,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,3.440000057220459,100.0,60.93000030517578,63.91999816894531,22.479999542236328,22.760000228881836,24.8700008392334,0.43299999833106995,1.3799999952316284,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,ambient,open,5.0,,,,,,,,,,
5,2250.0,599.6900024414062,587.6900024414062,294.0,32.69999846816063,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,5.739999771118164,100.0,60.56999969482422,63.68000030517578,22.68000030517578,22.889999389648438,24.8700008392334,0.453000009059906,1.3700000047683716,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
6,2250.0,800.219970703125,782.8099975585938,396.0,36.10000014305115,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,8.319999694824219,100.0,60.16999816894531,63.58000183105469,22.889999389648438,23.010000228881836,24.8700008392334,0.4959999918937683,1.3600000143051147,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
7,2250.0,1000.469970703125,977.9299926757812,500.0,37.90000081062317,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,10.800000190734863,100.0,60.040000915527344,63.68000030517578,22.8799991607666,23.049999237060547,24.959999084472656,0.5239999890327454,1.3700000047683716,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
8,2250.0,1200.1199951171875,1172.9599609375,612.0,38.89999911189079,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,13.0,100.0,60.06999969482422,63.83000183105469,22.8700008392334,23.079999923706055,25.049999237060547,0.5419999957084656,1.3799999952316284,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
9,2250.0,1500.0899658203125,1466.8699951171875,795.0,39.799999445676804,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,15.800000190734863,100.0,60.08000183105469,63.90999984741211,22.8700008392334,23.100000381469727,25.079999923706055,0.5540000200271606,1.3799999952316284,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
10,2250.0,2000.719970703125,1960.3399658203125,1120.0,38.80000114440918,26.0,300.20001220703125,,6.0,39.060001373291016,blandy,-78.05999755859375,19.100000381469727,100.0,60.15999984741211,63.90999984741211,22.8700008392334,23.110000610351562,25.1200008392334,0.5429999828338623,1.3899999856948853,2014.0,Blandy Experimental Farm,blandy mgra 4,licor 6400,licor 6400,co2,open,5.0,,,,,,,,,,
11,2250.0,400.07000732421875,360.05999755859375,301.0,669.0000295639038,19.0,299.6000061035156,0.135,6.0,41.86000061035156,fermi,-88.22000122070312,17.899999618530273,99.16000366210938,28.829999923706055,61.599998474121094,26.850000381469727,26.0,24.799999237060547,5.679999828338623,1.059999942779541,2014.0,Fermi National Accelerator Laboratory,fermi gmax 3,licor 6400,licor 6400,ambient,open,6.0,,,,,,,,,,
12,2250.0,299.54998779296875,269.2200012207031,219.0,578.9999961853027,19.0,299.6000061035156,0.135,6.0,41.86000061035156,fermi,-88.22000122070312,13.699999809265137,99.16999816894531,29.020000457763672,59.47999954223633,27.25,26.280000686645508,24.989999771118164,5.429999828338623,1.1399999856948853,2014.0,Fermi National Accelerator Laboratory,fermi gmax 3,licor 6400,licor 6400,co2,open,6.0,,,,,,,,,,
13,2250.0,200.0500030517578,180.6999969482422,147.0,554.0000200271606,19.0,299.6000061035156,0.135,6.0,41.86000061035156,fermi,-88.22000122070312,8.710000038146973,99.16999816894531,29.18000030517578,59.68000030517578,26.639999389648438,25.81999969482422,24.729999542236328,5.230000019073486,1.1399999856948853,2014.0,Fermi National Accelerator Laboratory,fermi gmax 3,licor 6400,licor 6400,co2,open,6.0,,,,,,,,,,
14,2250.0,98.94000244140625,92.37000274658203,79.30000305175781,469.0000116825104,19.0,299.6000061035156,0.135,6.0,41.86000061035156,fermi,-88.22000122070312,2.8299999237060547,99.18000030517578,30.350000381469727,57.79999923706055,26.850000381469727,26.020000457763672,24.90999984741211,4.860000133514404,1.2100000381469727,2014.0,Fermi National Accelerator Laboratory,fermi gmax 3,licor 6400,licor 6400,co2,open,6.0,,,,,,,,,,
15,2250.0,50.08000183105469,49.470001220703125,48.20000076293945,446.00000977516174,19.0,299.6000061035156,0.135,6.0,41.86000061035156,fermi,-88.22000122070312,0.06719999760389328,99.18000030517578,30.299999237060547,57.349998474121094,26.850000381469727,26.030000686645508,25.010000228881836,4.789999961853027,1.2400000095367432,2014.0,Fermi National Accelerator Laboratory,fermi gmax 3,licor 6400,licor 6400,co2,open,6.0,,,,,,,,,,
