,source,date,datetime_formats,time_formats,dayfirst
0,a. s. walcroft new zealand,[None],[],[],[]
1,a. s. walcroft peach,['apr-may/1999'],[‘range_of_months’],[],[]
2,"alistair rogers alaska, usa",[None],[],[],[]
3,angelica vårhammar rwanda,['july-aug/2011'],[‘range_of_months’],[],[]
4,"anna m. jensen minnesota, usa",[None],[],[],[]
5,belinda e. medlyn france,"['1/09/1999' '1/02/2000' '8/07/1999' '14/06/2000' '3/04/2000' '25/11/1999'
 '26/10/2000']",[‘%d/%m/%Y’],[],[True]
6,"belinda e. medlyn new south whales, australia","['14/11/2001' '15/11/2001' '16/11/2001' '11/02/2002' '12/02/2002'
 '13/02/2002' '14/02/2002' '15/02/2002' '6/05/2002' '7/05/2002'
 '8/05/2002' '9/05/2002' '10/05/2002']",[‘%d/%m/%Y’],[],[True]
7,"danielle a. way ontario, canada",[None],[],[],[]
8,"david ellsworth north carolina, usa",['aug-99' 'dec-98' 'jun-99'],[‘%b-%y’],[],[False]
9,"dushan kumarathunge new south whales, australia","['7/07/2016' '11/07/2016' '12/07/2016' '13/12/2016' '14/12/2016'
 '15/12/2016' '16/12/2016' '17/12/2016' '18/12/2016' '19/12/2016'
 '20/12/2016' '21/12/2016' '22/12/2016' '23/12/2016' '24/12/2016'
 '25/12/2016' '26/12/2016' '27/12/2016' '28/12/2016' '4/10/2016'
 '5/10/2016' '6/10/2016' '7/10/2016']",[‘%d/%m/%Y’],[],[True]
10,"dylan n. dillaway illinois, usa",['aug-07'],[‘%b-%y’],[],[False]
11,"dylan n. dillaway wisconsin, usa",['aug-07'],[‘%b-%y’],[],[False]
12,edgard s. tribuzy brazil,[None],[],[],[]
13,erwin dreyer france,"['14/07/1995' '12/07/1995' '23/07/1995' '13/07/1995' '15/07/1995'
 '16/07/1995' '18/07/1995' '19/07/1995' '26/07/1994' '28/07/1994'
 '29/07/1994' '1/08/1994' '4/08/1994' '25/07/1994' '27/07/1994'
 '30/07/1994' '2/08/1994' '22/07/1995' '17/07/1995' '24/07/1994'
 '31/07/1994' '3/08/1994' '20/07/1995']",[‘%d/%m/%Y’],[],[True]
14,"furstenau togashi western australia, australia",[None],[],[],[]
15,"jahn e. drake new south whales, australia","['16/02/2016' '17/02/2017' '17/02/2016' '18/02/2016' '19/02/2016'
 '22/02/2016' '23/02/2016' '24/02/2016' '25/02/2016' '3/02/2016']",[‘%d/%m/%Y’],[],[True]
16,"jeff  w. g. kelly queensland, australia",['jul-11' 'apr-11'],[‘%b-%y’],[],[False]
17,jorn strassemeyer germany,"['12/08/1997' '13/08/1997' '14/08/1997' '15/08/1997' '16/08/1997'
 '17/08/1997' '18/08/1997' '20/08/1997' '21/08/1997' '22/08/1997'
 '18/08/1995' '19/08/1995' '20/08/1995' '21/08/1995' '22/08/1995'
 '08/22/1995' '23/08/1995' '24/08/1995' '25/08/1995' '26/08/1995'
 '27/08/1995']",[‘%d/%m/%Y’],[],[True]
18,kai-yun wang finland,['jul-98' None],[‘%b-%y’],[],[False]
19,kelsey cater puerto rico,"['22/07/2015' '17/07/2015' '5/07/2015' '9/07/2015' '15/07/2015'
 '7/07/2015' '16/07/2015' '11/07/2015' '10/07/2015' '21/07/2015'
 '12/07/2015' '13/07/2015' '20/07/2015' '18/07/2015' '6/07/2015'
 '3/07/2015' '14/07/2015' '4/07/2015']",[‘%d/%m/%Y’],[],[True]
20,kouki hikosaka japan,['1/06/2001' '1/08/2001' '1/09/2001' '1/06/2002' '1/07/2002' '1/09/2002'],[‘%d/%m/%Y’],[],[True]
