variable,description,unit,standard_variable,standard_description,standard_unit
BLCond,Boundary layer conductance,mol m-2 s-1,gbw,Boundary layer conductance to water vapor per leaf area,mmol m-2 s-1
CN,Leaf carbonto nitrogen ratio,1,CN,Leaf carbonto nitrogen ratio,1
CO2R,Reference CO2,μmol mol-1,CO2r,CO2 concentration in wet air entering chamber,μmol mol-1
CO2S,Sample CO2,μmol mol-1,CO2s,CO2 concentration in wet air inside chamber,μmol mol-1
Ci,Intracellular CO2,μmol mol-1,Ci,Intercellular CO2 concentration in air,μmol mol-1
Cond,Mean stomatal conductance for Aci curve,mol m-2 s-1,Cond,Mean stomatal conductance for Aci curve,mol m-2 s-1
Cond,Stomatal conductance,mol m-2 s-1,gsw,Stomatal conductance to water vapor per leaf area,mmol m-2 s-1
Cper,Leaf carbon content,%,Cper,Leaf carbon content,%
DBH,Diameter at breast height (trees only),m,DBH,Diameter at breast height (trees only),m
Date,Date of measurement,1,date,Date of observation,1
Day,Day of year of measurement,1,day,Day of observation,1
FCper,Field capcacity of soil at site (Saxton and Rawls 2006),%,FCper,Field capcacity of soil at site (Saxton and Rawls 2006),%
Flow,Flow rate,μmol s-1,flow,Flow rate of air into chamber,μmol s-1
Genus,Genus of individual,1,species,Full species name and subspecies if applicable,1
H2OR,Reference H2O,mmol mol-1,H2OR,Reference H2O,mmol mol-1
H2OS,Sample H2O,mmol mol-1,H2OS,Sample H2O,mmol mol-1
Height,Height of individual (non-trees only),cm,plantHeight,The height of the plant measured,m
Jmax,Maximum rate of electron tranport for RuBP regeneration at Tleaf_photo,μmol m-2 s-1,Jmax,Maximum rate of electron tranport for RuBP regeneration at Tleaf_photo,μmol m-2 s-1
Juvenile,Indicator of juvenile status (Y = juvenile tree); note: all non-trees are indicated as non-juveniles,1,Juvenile,Indicator of juvenile status (Y = juvenile tree); note: all non-trees are indicated as non-juveniles,1
LA,Leaf area,cm-2,area,Leaf area,cm-2
LM,Leaf mass,g,LM,Leaf mass,g
LWP_MPa,Leaf pre-dawn water potential,Mpa,LWP_MPa,Leaf pre-dawn water potential,Mpa
Lat,Latitude,degree,latitude,Latitude coordinate of the site,degree
