,unadjudicatedName,plantType,plantLeaf,plantForm,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
27300,abuta cf. panurensis,angiosperm,evergreen,broadleaf evergreen tree,,,,,
30863,acacia aneura,angiosperm,evergreen,broadleaf evergreen tree,,,,,
31125,acacia hemiteles,angiosperm,evergreen,broadleaf evergreen tree,,,,,
8778,acer pseudoplatanus,angiosperm,deciduous,broadleaf deciduous tree,,,,,
32853,acer rubrum,,,,,,,,
59019,anacardium excelsum,angiosperm,evergreen,broadleaf evergreen tree,,,,,
59083,apeiba membranacea,angiosperm,evergreen,broadleaf evergreen tree,,,,,
52499,arctagrostis latifolia,,,tundra,,,,,
52628,arctophila fulva,,,tundra,,,,,
26885,argyrodendron peralatum,angiosperm,evergreen,broadleaf evergreen tree,,,,,
60768,astronium graveolens,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27336,bellucia dichotoma,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27350,bertholletia excelsa,angiosperm,evergreen,broadleaf evergreen tree,,,,,
33495,betula alleghaniensis,,,,,,,,
6861,betula papyrifera,angiosperm,deciduous,broadleaf deciduous tree,,,,,
32185,betula papyrifera,,,,,,,,
9113,betula pendula,angiosperm,deciduous,broadleaf deciduous tree,,,,,
27357,brosimum parinarioides ssp. parinariodes,angiosperm,evergreen,broadleaf evergreen tree,,,,,
59156,brosimum utile,angiosperm,evergreen,broadleaf evergreen tree,,,,,
31198,callitris collumelaris,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27903,calophyllum longifolium,angiosperm,evergreen,broadleaf evergreen tree,,,,,
54901,carapa grandiflora,angiosperm,evergreen,broadleaf evergreen tree,,,,,
59241,carapa guianensis,angiosperm,evergreen,broadleaf evergreen tree,,,,,
52901,carex aquatilis,,,tundra,,,,,
60848,castilla elastica,angiosperm,evergreen,broadleaf evergreen tree,,,,,
60893,cecropia peltata,angiosperm,evergreen,broadleaf evergreen tree,,,,,
34656,cedrela odorata,,,,,,,,
55170,cedrela serrata,angiosperm,evergreen,broadleaf evergreen tree,,,,,
18982,chamaecyparis obtusa,gymnosperm,evergreen,needleleaf evergreen tree,,,,,
60998,chrysophyllum cainito,angiosperm,evergreen,broadleaf evergreen tree,,,,,
59299,cordia bicolor,angiosperm,evergreen,broadleaf evergreen tree,,,,,
5030,corymbia calophylla (prov boorara),angiosperm,evergreen,broadleaf evergreen tree,,,,,
4428,corymbia calophylla (prov cape richie),angiosperm,evergreen,broadleaf evergreen tree,,,,,
6251,corymbia calophylla (prov gingin),angiosperm,evergreen,broadleaf evergreen tree,,,,,
5637,corymbia calophylla (prov mogumber),angiosperm,evergreen,broadleaf evergreen tree,,,,,
27390,couepia longipondula,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27404,crysophillum sp.,angiosperm,evergreen,broadleaf evergreen tree,,,,,
35717,cucumis sativa,,,,,,,,
29859,dacryodes excels,angiosperm,evergreen,broadleaf evergreen tree,,,,,
27420,diospyrus cf. praetermissa,angiosperm,evergreen,broadleaf evergreen tree,,,,,
53275,dupontia fisheri,,,tundra,,,,,
36795,elymus canadensis,,,,,,,,
55430,entandrophragma excelsum,angiosperm,evergreen,broadleaf evergreen tree,,,,,
31389,eremophila scoparia,angiosperm,evergreen,broadleaf evergreen tree,,,,,
53385,eriophorum angustifolium,,,tundra,,,,,
27435,eschweilera coriacea,angiosperm,evergreen,broadleaf evergreen tree,,,,,
19909,eucalyptus cladocalyx,angiosperm,evergreen,broadleaf evergreen tree,,,,,
31553,eucalyptus clelandii,angiosperm,evergreen,broadleaf evergreen tree,,,,,
20209,eucalyptus crebra,angiosperm,evergreen,broadleaf evergreen tree,,,,,
52069,eucalyptus delegatensis,angiosperm,evergreen,broadleaf evergreen tree,,,,,
20427,eucalyptus dunnii,angiosperm,evergreen,broadleaf evergreen tree,,,,,
11303,eucalyptus globulus,angiosperm,evergreen,broadleaf evergreen tree,,,,,
55690,eucalyptus maidenii,angiosperm,evergreen,broadleaf evergreen tree,,,,,
20706,eucalyptus melliodora,angiosperm,evergreen,broadleaf evergreen tree,,,,,
55956,eucalyptus microcorys,angiosperm,evergreen,broadleaf evergreen tree,,,,,
13118,eucalyptus parramattensis,angiosperm,evergreen,broadleaf evergreen tree,,,,,
56959,eucalyptus saligna,angiosperm,evergreen,broadleaf evergreen tree,,,,,
31643,eucalyptus salmonophloia,angiosperm,evergreen,broadleaf evergreen tree,,,,,
