,unadjudicatedName,plantType,plantLeaf,plantForm,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
27300,abuta cf. panurensis,angiosperm,evergreen,tree,abuta,,,genus,
30863,acacia aneura,angiosperm,evergreen,tree,acacia aneura,,,species,
31125,acacia hemiteles,angiosperm,evergreen,tree,acacia hemiteles,,,species,
8778,acer pseudoplatanus,angiosperm,deciduous,tree,acer pseudoplatanus,,,species,
32853,acer rubrum,angiosperm,deciduous,tree,acer rubrum,,,species,
59019,anacardium excelsum,angiosperm,evergreen,tree,anacardium excelsum,,,species,
59083,apeiba membranacea,angiosperm,evergreen,tree,apeiba membranacea,,,species,
52499,arctagrostis latifolia,angiosperm,,graminoid,arctagrostis latifolia,,,species,
52628,arctophila fulva,angiosperm,,graminoid,arctophila fulva,,,species,
26885,argyrodendron peralatum,angiosperm,evergreen,tree,argyrodendron peralatum,,,species,
60768,astronium graveolens,angiosperm,evergreen,tree,astronium graveolens,,,species,
27336,bellucia dichotoma,angiosperm,evergreen,tree,bellucia dichotoma,,,species,
27350,bertholletia excelsa,angiosperm,evergreen,tree,bertholletia excelsa,,,species,
33495,betula alleghaniensis,angiosperm,deciduous,tree,betula alleghaniensis,,,species,
6861,betula papyrifera,angiosperm,deciduous,tree,betula papyrifera,,,species,
32185,betula papyrifera,angiosperm,deciduous,tree,betula papyrifera,,,species,
9113,betula pendula,angiosperm,deciduous,tree,betula pendula,,,species,
27357,brosimum parinarioides ssp. parinariodes,angiosperm,evergreen,tree,brosimum parinarioides ssp. parinariodes,,,subspecies,
59156,brosimum utile,angiosperm,evergreen,tree,brosimum utile,,,species,
31198,callitris collumelaris,angiosperm,evergreen,tree,callitris collumelaris,,,species,
27903,calophyllum longifolium,angiosperm,evergreen,tree,calophyllum longifolium,,,species,
54901,carapa grandiflora,angiosperm,evergreen,tree,carapa grandiflora,,,species,
59241,carapa guianensis,angiosperm,evergreen,tree,carapa guianensis,,,species,
52901,carex aquatilis,angiosperm,,graminoid,carex aquatilis,,,species,
60848,castilla elastica,angiosperm,evergreen,tree,castilla elastica,,,species,
60893,cecropia peltata,angiosperm,evergreen,tree,cecropia peltata,,,species,
34656,cedrela odorata,angiosperm,deciduous,tree,cedrela odorata,,,species,
55170,cedrela serrata,angiosperm,deciduous,tree,cedrela serrata,,,species,
18982,chamaecyparis obtusa,gymnosperm,evergreen,tree,chamaecyparis obtusa,,,species,
60998,chrysophyllum cainito,angiosperm,evergreen,tree,chrysophyllum cainito,,,species,
