,unadjudicatedName,plantLeaf,plantForm,plantType,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
242,"genus: abies, species: balsamea",evergreen,tree,,,,,,
2188,"genus: acacia, species: mangium",evergreen,tree,,,,,,
550,"genus: acer, species: rubrum",nonevergreen,tree,,,,,,
180,"genus: acer, species: saccharum",nonevergreen,tree,,,,,,
2923,"genus: acosmium, species: panamense",nonevergreen,tree,,,,,,
2825,"genus: albizia, species: adinocephala",evergreen,tree,,,,,,
6350,"genus: alchornea, species: costaricensis",evergreen,tree,,,,,,
1225,"genus: andira, species: inermis",evergreen,tree,,,,,,
1339,"genus: andropogon, species: gerardii",nonevergreen,nontree,,,,,,
777,"genus: annona, species: papilionella",nonevergreen,tree,,,,,,
2686,"genus: apeiba, species: membranacea",evergreen,tree,,,,,,
1742,"genus: astronium, species: gaveolens",nonevergreen,tree,,,,,,
115,"genus: betula, species: papyrifera",nonevergreen,tree,,,,,,
6903,"genus: bravaisia, species: integerrima",evergreen,tree,,,,,,
2561,"genus: bursera, species: simaruba",nonevergreen,tree,,,,,,
4858,"genus: casearia, species: corymbosa",evergreen,tree,,,,,,
41,"genus: castilla, species: elastica",nonevergreen,tree,,,,,,
4567,"genus: cecropia, species: insignis",nonevergreen,tree,,,,,,
2481,"genus: cedrela, species: odorata",nonevergreen,tree,,,,,,
4881,"genus: ceiba, species: pentandra",nonevergreen,tree,,,,,,
1186,"genus: cochlospermum, species: vitifolium",nonevergreen,tree,,,,,,
3571,"genus: cordia, species: lucidula",evergreen,tree,,,,,,
485,"genus: coussapoa, species: villosa",evergreen,tree,,,,,,
4249,"genus: crescentia, species: alata",nonevergreen,tree,,,,,,
281,"genus: dussia, species: macroprophyllata",evergreen,tree,,,,,,
141,"genus: elymus, species: canadensis",nonevergreen,nontree,,,,,,
764,"genus: enterolobium, species: cyclocarpum",nonevergreen,tree,,,,,,
102,"genus: exostema, species: mexicanum",nonevergreen,tree,,,,,,
433,"genus: fagus, species: grandifolia",nonevergreen,tree,,,,,,
712,"genus: ficus, species: colubrinae",evergreen,tree,,,,,,
5233,"genus: ficus, species: goldmanii",evergreen,tree,,,,,,
7551,"genus: ficus, species: pertusa",evergreen,tree,,,,,,
128,"genus: fraxinus, species: nigra",nonevergreen,tree,,,,,,
15,"genus: glycine, species: max",nonevergreen,nontree,,,,,,
602,"genus: gmelina, species: arborea",nonevergreen,tree,,,,,,
1048,"genus: guarea, species: gentryi",evergreen,tree,,,,,,
319,"genus: guarea, species: grandifolia",evergreen,tree,,,,,,
5194,"genus: guarea, species: guidonia",evergreen,tree,,,,,,
589,"genus: guazuma, species: ulmifolia",nonevergreen,tree,,,,,,
700,"genus: hampea, species: appendiculata",nonevergreen,tree,,,,,,
1677,"genus: helicteres, species: guazumaefolia",nonevergreen,tree,,,,,,
790,"genus: heliopsis, species: helianthoides",nonevergreen,nontree,,,,,,
5996,"genus: hura, species: crepitans",evergreen,tree,,,,,,
167,"genus: ilex, species: opaca",evergreen,tree,,,,,,
2406,"genus: ilex, species: vomitoria",evergreen,tree,,,,,,
5879,"genus: inga, species: jinicuil",evergreen,tree,,,,,,
3357,"genus: inga, species: pezizifera",evergreen,tree,,,,,,
7486,"genus: jacquinia, species: nervosa",evergreen,tree,,,,,,
4037,"genus: juglans, species: nigra",nonevergreen,tree,,,,,,
725,"genus: larix, species: laricina",nonevergreen,tree,,,,,,
54,"genus: liriodendron, species: tulipfera",nonevergreen,tree,,,,,,
5220,"genus: luehea, species: seemannii",evergreen,tree,,,,,,
4402,"genus: lysiloma, species: divaricatum",nonevergreen,tree,,,,,,
255,"genus: maclura, species: tinctora",nonevergreen,tree,,,,,,
4,"genus: magnolia, species: grandiflora",evergreen,tree,,,,,,
1009,"genus: magnolia, species: virginiana",evergreen,tree,,,,,,
193,"genus: magnolia, species: virginianaxgrandiflora",evergreen,tree,,,,,,
472,"genus: nectandra, species: membranacea",evergreen,tree,,,,,,
6071,"genus: nephelium, species: ramboutan-ake",evergreen,tree,,,,,,
4933,"genus: nyssa, species: sylvatica",nonevergreen,tree,,,,,,
1450,"genus: pachira, species: aquatica",nonevergreen,tree,,,,,,
1616,"genus: pachira, species: quinata",nonevergreen,tree,,,,,,
2251,"genus: palicourea, species: crocea",nonevergreen,tree,,,,,,
67,"genus: panicum, species: virgatum",nonevergreen,nontree,,,,,,
89,"genus: pentaclethra, species: macroloba",evergreen,tree,,,,,,
1238,"genus: persea, species: borbonia",evergreen,tree,,,,,,
368,"genus: picea, species: glauca",evergreen,tree,,,,,,
407,"genus: picea, species: mariana",evergreen,tree,,,,,,
803,"genus: pinus, species: palustris",evergreen,tree,,,,,,
28,"genus: pinus, species: strobus",evergreen,tree,,,,,,
293,"genus: populus, species: balsamifera",nonevergreen,tree,,,,,,
