,unadjudicatedName,plantLeaf,plantForm,plantType,acceptedName,nameAuthor,nameAuthority,nameCategory,nameAdjudicator
242,abies balsamea,evergreen,tree,gymnosperm,abies balsamea,,,species,
2188,acacia mangium,evergreen,tree,angiosperm,acacia mangium,,,species,
550,acer rubrum,deciduous,tree,angiosperm,acer rubrum,,,species,
180,acer saccharum,deciduous,tree,angiosperm,acer saccharum,,,species,
2923,acosmium panamense,deciduous,tree,angiosperm,acosmium panamense,,,species,
2825,albizia adinocephala,evergreen,tree,angiosperm,albizia adinocephala,,,species,
6350,alchornea costaricensis,evergreen,tree,angiosperm,alchornea costaricensis,,,species,
1225,andira inermis,evergreen,tree,angiosperm,andira inermis,,,species,
1339,andropogon gerardii,,graminoid,angiosperm,andropogon gerardii,,,species,
777,annona papilionella,deciduous,tree,angiosperm,annona papilionella,,,species,
2686,apeiba membranacea,evergreen,tree,angiosperm,apeiba membranacea,,,species,
1742,astronium gaveolens,deciduous,tree,angiosperm,astronium gaveolens,,,species,
115,betula papyrifera,deciduous,tree,angiosperm,betula papyrifera,,,species,
6903,bravaisia integerrima,evergreen,tree,angiosperm,bravaisia integerrima,,,species,
2561,bursera simaruba,deciduous,tree,angiosperm,bursera simaruba,,,species,
4858,casearia corymbosa,evergreen,tree,angiosperm,casearia corymbosa,,,species,
41,castilla elastica,deciduous,tree,angiosperm,castilla elastica,,,species,
4567,cecropia insignis,deciduous,tree,angiosperm,cecropia insignis,,,species,
2481,cedrela odorata,deciduous,tree,angiosperm,cedrela odorata,,,species,
4881,ceiba pentandra,deciduous,tree,angiosperm,ceiba pentandra,,,species,
1186,cochlospermum vitifolium,deciduous,tree,angiosperm,cochlospermum vitifolium,,,species,
3571,cordia lucidula,evergreen,tree,angiosperm,cordia lucidula,,,species,
485,coussapoa villosa,evergreen,tree,angiosperm,coussapoa villosa,,,species,
4249,crescentia alata,deciduous,tree,angiosperm,crescentia alata,,,species,
281,dussia macroprophyllata,evergreen,tree,angiosperm,dussia macroprophyllata,,,species,
141,elymus canadensis,,graminoid,angiosperm,elymus canadensis,,,species,
764,enterolobium cyclocarpum,deciduous,tree,angiosperm,enterolobium cyclocarpum,,,species,
102,exostema mexicanum,deciduous,tree,angiosperm,exostema mexicanum,,,species,
433,fagus grandifolia,deciduous,tree,angiosperm,fagus grandifolia,,,species,
712,ficus colubrinae,evergreen,tree,angiosperm,ficus colubrinae,,,species,
5233,ficus goldmanii,evergreen,tree,angiosperm,ficus goldmanii,,,species,
7551,ficus pertusa,evergreen,tree,angiosperm,ficus pertusa,,,species,
